Sr. No.,City,No. of seats,Category,State,Winning Candidate,Political Party,Electors,Voters,Turnout,Margin,Margin percentage
362,Murshidabad,11,GEN,West Bengal,Abu Taher Khan,All India Trinamool Congress,"18,88,097","15,41,559",81.70%,"1,64,215",10.70%
363,Muzaffarnagar,3,GEN,Uttar Pradesh [2000 Onwards],Harendra Singh Malik,Samajwadi Party,"18,17,472","10,78,669",59.40%,"24,672",2.30%
364,Muzaffarpur,15,GEN,Bihar [2000 Onwards],Raj Bhushan Choudhary,Bharatiya Janta Party,"18,66,106","11,12,460",59.60%,"2,34,927",21.10%
365,Mysore,21,GEN,Karnataka,Yaduveer Krishnadatta Chamaraja Wadiyar,Bharatiya Janta Party,"20,92,222","14,84,473",71.00%,"1,39,262",9.40%
366,Nabarangpur,12,ST,Orissa,Balabhadra Majhi,Bharatiya Janta Party,"15,14,140","12,42,475",82.10%,"87,536",7.00%
367,Nagaland,1,ST,Nagaland,S Supongmeren Jamir,Indian National Congress,"13,17,536","7,60,796",57.70%,"50,984",6.70%
368,Nagaon,9,GEN,Assam,Pradyut Bordoloi,Indian National Congress,"18,17,204","15,49,998",85.30%,"2,12,231",13.70%
369,Nagapattinam,29,SC,Tamil Nadu,Selvaraj V,Communist Party Of India,"13,45,120","9,73,011",72.30%,"2,08,957",21.50%
370,Nagarkurnool,12,SC,Telangana,Dr.Mallu Ravi,Indian National Congress,"17,38,254","12,19,223",70.10%,"94,414",7.70%
371,Nagaur,14,GEN,Rajasthan,Hanuman Beniwal,Rashtriya Loktantrik Party,"21,46,725","12,38,473",57.70%,"42,225",3.40%
372,Nagina,5,SC,Uttar Pradesh [2000 Onwards],Chandrashekhar,Aazad Samaj Party (Kanshi Ram),"16,44,909","10,01,303",60.90%,"1,51,473",15.10%
373,Nagpur,10,GEN,Maharashtra,Nitin Jairam Gadkari,Bharatiya Janta Party,"22,23,281","12,11,321",54.50%,"1,37,603",11.40%
374,Nainital-Udham,4,GEN,Uttarakhand,Ajay Bhatt,Bharatiya Janta Party,"20,15,809","12,66,016",62.80%,"3,34,548",26.40%
375,Nalanda,29,GEN,Bihar [2000 Onwards],Kaushalendra Kumar,Janata Dal (United),"22,88,240","11,44,383",49.90%,"1,69,114",14.80%
376,Nalgonda,13,GEN,Telangana,Kunduru Raghuveer,Indian National Congress,"17,25,465","12,96,324",75.10%,"5,59,905",43.20%
377,Namakkal,16,GEN,Tamil Nadu,Matheswaran V S,Dravida Munnetra Kazhagam,"14,52,562","11,46,303",78.90%,"29,112",2.50%
378,Nanded,16,GEN,Maharashtra,Chavan Vasantrao Balwantrao,Indian National Congress,"18,51,843","11,28,254",60.90%,"59,442",5.30%
379,Nandurbar,1,ST,Maharashtra,Adv Gowaal Kagada Padavi,Indian National Congress,"19,70,327","13,93,669",70.70%,"1,59,120",11.40%
380,Nandyal,17,,Andhra Pradesh [2014 Onwards],Dr Byreddy Shabari,Telugu Desam,"17,21,013","14,04,418",81.60%,"1,11,975",8.00%
381,Narasaraopet,14,,Andhra Pradesh [2014 Onwards],Lavu Srikrishna Devarayalu,Telugu Desam,"17,34,858","14,99,569",86.40%,"1,59,729",10.70%
382,Narsapuram,9,,Andhra Pradesh [2014 Onwards],Bhupathi Raju Srinivasa Varma (B.J.P.VARMA),Bharatiya Janta Party,"14,72,923","12,30,994",83.60%,"2,76,802",22.50%
383,Nashik,21,GEN,Maharashtra,Rajabhau (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),"20,30,124","12,37,204",60.90%,"1,62,001",13.10%
384,Navsari,25,GEN,Gujarat,C R Patil,Bharatiya Janta Party,"22,23,550","13,38,216",60.20%,"7,73,551",57.80%
385,Nawada,39,GEN,Bihar [2000 Onwards],Vivek Thakur,Bharatiya Janta Party,"20,06,124","8,69,870",43.40%,"67,670",7.80%
386,Nellore,22,,Andhra Pradesh [2014 Onwards],Prabhakar Reddy Vemireddy,Telugu Desam,"17,12,274","13,75,649",80.30%,"2,45,902",17.90%
387,New Delhi,4,GEN,Delhi [1977 Onwards],Bansuri Swaraj,Bharatiya Janta Party,"15,25,071","8,47,468",55.60%,"78,370",9.20%
388,Nilgiris,19,SC,Tamil Nadu,Raja A,Dravida Munnetra Kazhagam,"14,28,387","10,18,906",71.30%,"2,40,585",23.60%
389,Nizamabad,4,GEN,Telangana,Arvind Dharmapuri,Bharatiya Janta Party,"17,04,867","12,33,581",72.40%,"1,09,241",8.90%
390,North East Delhi,2,GEN,Delhi [1977 Onwards],Manoj Tiwari,Bharatiya Janta Party,"24,63,159","15,52,731",63.00%,"1,38,778",8.90%
391,North Goa,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,"5,80,577","4,56,018",78.60%,"1,16,015",25.40%
392,North West Delhi,5,SC,Delhi [1977 Onwards],Yogender Chandoliya,Bharatiya Janta Party,"25,67,423","14,87,207",57.90%,"2,90,849",19.60%
393,Ongole,16,,Andhra Pradesh [2014 Onwards],Magunta Sreenivasulu Reddy,Telugu Desam,"16,07,832","14,22,214",88.50%,"50,199",3.50%
394,Osmanabad,40,GEN,Maharashtra,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,Shiv Sena (Uddhav Balasaheb Thackrey),"19,92,737","12,81,052",64.30%,"3,29,846",25.70%
395,Outer Manipur,2,ST,Manipur,Alfred Kanngam S Arthur,Indian National Congress,"10,38,027","7,96,735",76.80%,"85,418",10.70%
396,Palakkad,8,GEN,Kerala,V K Sreekandan,Indian National Congress,"13,98,143","10,35,836",74.10%,"75,283",7.30%
397,Palamau,13,SC,Jharkhand,Vishnu Dayal Ram,Bharatiya Janta Party,"22,43,034","13,90,738",62.00%,"2,88,807",20.80%
398,Palghar,22,ST,Maharashtra,Dr. Hemant Vishnu Savara,Bharatiya Janta Party,"21,48,514","13,76,074",64.10%,"1,83,306",13.30%
399,Pali,15,GEN,Rajasthan,P. P. Chaudhary,Bharatiya Janta Party,"23,43,232","13,53,842",57.80%,"2,45,351",18.10%
400,Panchmahal,18,GEN,Gujarat,Rajpalsinh Mahendrasinh Jadav,Bharatiya Janta Party,"18,96,743","11,31,497",59.70%,"5,09,342",45.00%
401,Parbhani,17,GEN,Maharashtra,Jadhav Sanjay ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),"21,23,056","13,31,176",62.70%,"1,34,061",10.10%
402,Paschim Champaran,2,GEN,Bihar [2000 Onwards],Dr.Sanjay Jaiswal,Bharatiya Janta Party,"17,56,078","10,86,256",61.90%,"1,36,568",12.60%
403,Pataliputra,31,GEN,Bihar [2000 Onwards],Misha Bharti,Rashtriya Janata Dal,"20,73,685","12,30,099",59.30%,"85,174",6.90%
404,Patan,3,GEN,Gujarat,Dabhi Bharatsinhji Shankarji,Bharatiya Janta Party,"20,19,916","11,93,125",59.10%,"31,876",2.70%
405,Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,"14,29,700","9,19,569",64.30%,"66,119",7.20%
406,Patiala,13,GEN,Punjab,Dr Dharamvira Gandhi,Indian National Congress,"18,06,424","11,51,743",63.80%,"14,831",1.30%
407,Patna Sahib,30,GEN,Bihar [2000 Onwards],Ravi Shankar Prasad,Bharatiya Janta Party,"22,92,045","10,75,496",46.90%,"1,53,846",14.30%
408,Peddapalle,2,SC,Telangana,Vamsi Krishna Gaddam,Indian National Congress,"15,96,430","10,95,295",68.60%,"1,31,364",12.00%
409,Perambalur,25,GEN,Tamil Nadu,Arun Nehru,Dravida Munnetra Kazhagam,"14,46,352","11,29,226",78.00%,"3,89,107",34.50%
410,Phulpur,51,GEN,Uttar Pradesh [2000 Onwards],Praveen Patel,Bharatiya Janta Party,"20,67,043","10,14,824",49.10%,"4,332",0.40%
411,Pilibhit,26,GEN,Uttar Pradesh [2000 Onwards],Jitin Prasada,Bharatiya Janta Party,"18,31,699","11,60,947",63.40%,"1,64,935",14.20%
412,Pollachi,21,GEN,Tamil Nadu,Eswarasamy K,Dravida Munnetra Kazhagam,"15,97,467","11,26,045",70.40%,"2,52,042",22.40%
413,Ponnani,7,GEN,Kerala,Dr. M.P Abdussamad Samadani,Indian Union Muslim League,"14,70,804","10,26,296",69.80%,"2,35,760",23.00%
414,Porbandar,11,GEN,Gujarat,Dr. Mansukh Mandaviya,Bharatiya Janta Party,"17,68,212","9,28,977",52.50%,"3,83,360",41.30%
415,Pratapgarh,39,GEN,Uttar Pradesh [2000 Onwards],Shiv Pal Singh Patel (DR. S P SINGH),Samajwadi Party,"18,33,312","9,47,288",51.70%,"66,206",7.00%
416,Puducherry,1,GEN,Pondicherry,Ve Vaithilingam,Indian National Congress,"10,23,699","8,07,940",78.90%,"1,36,516",16.90%
417,Pune,34,GEN,Maharashtra,Murlidhar Mohol,Bharatiya Janta Party,"20,61,276","11,04,572",53.60%,"1,23,038",11.10%
418,Puri,17,GEN,Orissa,Sambit Patra,Bharatiya Janta Party,"15,86,465","11,96,938",75.50%,"1,04,709",8.70%
419,Purnia,12,GEN,Bihar [2000 Onwards],Rajesh Ranjan Alias Pappu Yadav,Independent,"18,93,698","11,95,844",63.20%,"23,847",2.00%
420,Purulia,35,GEN,West Bengal,Jyotirmay Singh Mahato,Bharatiya Janta Party,"18,23,120","14,34,018",78.70%,"17,079",1.20%
421,Purvi Champaran,3,GEN,Bihar [2000 Onwards],Radha Mohan Singh,Bharatiya Janta Party,"17,90,761","10,73,688",60.00%,"88,287",8.20%
422,Rae Bareli,36,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,"17,84,314","10,39,219",58.20%,"3,90,030",37.50%
423,Raichur,6,ST,Karnataka,G. Kumar Naik.,Indian National Congress,"20,10,103","12,99,619",64.70%,"79,781",6.10%
424,Raigad,32,GEN,Maharashtra,Tatkare Sunil Dattatrey,Nationalist Congress Party,"16,68,372","10,13,272",60.70%,"82,784",8.20%
425,Raiganj,5,GEN,West Bengal,Kartick Chandra Paul,Bharatiya Janta Party,"17,90,245","13,68,471",76.40%,"68,197",5.00%
426,Raigarh,2,ST,Chhattisgarh,Radheshyam Rathiya,Bharatiya Janta Party,"18,38,547","14,52,965",79.00%,"2,40,391",16.50%
427,Raipur,8,GEN,Chhattisgarh,Brijmohan Agrawal,Bharatiya Janta Party,"23,75,379","15,86,755",66.80%,"5,75,285",36.30%
428,Rajahmundry,8,,Andhra Pradesh [2014 Onwards],Daggubati Purandheshwari,Bharatiya Janta Party,"16,23,149","13,25,297",81.70%,"2,39,139",18.00%
429,Rajampet,24,,Andhra Pradesh [2014 Onwards],P V Midhun Reddy,Yuvajana Sramika Rythu Congress Party,"16,65,702","13,32,939",80.00%,"76,071",5.70%
430,Rajgarh,20,GEN,Madhya Pradesh [2000 Onwards],Rodmal Nagar,Bharatiya Janta Party,"18,75,211","14,28,997",76.20%,"1,46,089",10.20%
431,Rajkot,10,GEN,Gujarat,Parshottambhai Rupala,Bharatiya Janta Party,"21,12,273","12,73,542",60.30%,"4,84,260",38.00%
432,Rajmahal,1,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,"17,04,671","12,18,249",71.50%,"1,78,264",14.60%
433,Rajnandgaon,6,GEN,Chhattisgarh,Santosh Pandey,Bharatiya Janta Party,"18,68,021","14,45,765",77.40%,"44,411",3.10%
434,Rajsamand,22,GEN,Rajasthan,Mahima Kumari Mewar,Bharatiya Janta Party,"20,60,942","12,13,130",58.90%,"3,92,223",32.30%
435,Ramanathapuram,35,GEN,Tamil Nadu,Navaskani K,Indian Union Muslim League,"16,17,688","11,09,853",68.60%,"1,66,782",15.00%
436,Rampur,7,GEN,Uttar Pradesh [2000 Onwards],Mohibbullah,Samajwadi Party,"17,31,836","9,68,079",55.90%,"87,434",9.00%
437,Ramtek,9,SC,Maharashtra,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,"20,49,085","12,52,512",61.10%,"76,768",6.10%
438,Ranaghat,13,SC,West Bengal,Jagannath Sarkar,Bharatiya Janta Party,"18,71,658","15,40,632",82.00%,"1,86,899",12.10%
439,Ranchi,8,GEN,Jharkhand,Sanjay Seth,Bharatiya Janta Party,"21,97,331","14,47,781",65.90%,"1,20,512",8.30%
440,Ratlam,24,ST,Madhya Pradesh [2000 Onwards],Anita Nagarsingh Chouhan,Bharatiya Janta Party,"20,94,548","15,32,643",73.20%,"2,07,232",13.50%
441,Ratnagiri - Si,46,GEN,Maharashtra,Narayan Tatu Rane,Bharatiya Janta Party,"14,51,630","9,14,038",63.00%,"47,858",5.20%
442,Raver,4,GEN,Maharashtra,Khadse Raksha Nikhil,Bharatiya Janta Party,"18,21,750","11,71,666",64.30%,"2,72,183",23.20%
443,Rewa,10,GEN,Madhya Pradesh [2000 Onwards],Janardan Mishra,Bharatiya Janta Party,"18,52,126","9,18,129",49.50%,"1,93,374",21.10%
444,Robertsganj,80,SC,Uttar Pradesh [2000 Onwards],Chhotelal,Samajwadi Party,"17,79,189","10,09,545",56.70%,"1,29,234",12.80%
445,Rohtak,7,GEN,Haryana,Deepender Singh Hooda,Indian National Congress,"18,89,844","12,48,446",66.00%,"3,45,298",27.70%
446,Sabarkantha,5,GEN,Gujarat,Shobhanaben Mahendrasinh Baraiya,Bharatiya Janta Party,"19,76,349","12,69,358",64.20%,"1,55,682",12.30%
447,Sagar,5,GEN,Madhya Pradesh [2000 Onwards],Dr. Lata Wankhede,Bharatiya Janta Party,"17,45,690","11,50,549",65.90%,"4,71,222",41.00%
448,Saharanpur,1,GEN,Uttar Pradesh [2000 Onwards],Imran Masood,Indian National Congress,"18,55,310","12,29,455",66.30%,"64,542",5.20%
449,Salem,15,GEN,Tamil Nadu,Selvaganapathi T M,Dravida Munnetra Kazhagam,"16,58,681","13,04,844",78.70%,"70,357",5.40%
450,Salempur,71,GEN,Uttar Pradesh [2000 Onwards],Ramashankar Rajbhar,Samajwadi Party,"17,76,982","9,17,362",51.60%,"3,573",0.40%
451,Samastipur,23,SC,Bihar [2000 Onwards],Shambhavi,Lok Janshakti Party(Ram Vilas),"18,18,530","10,94,592",60.20%,"1,87,251",17.10%
452,Sambalpur,3,GEN,Orissa,Dharmendra Pradhan,Bharatiya Janta Party,"14,99,728","11,96,747",79.80%,"1,19,836",10.00%
453,Sambhal,8,GEN,Uttar Pradesh [2000 Onwards],Zia Ur Rehman,Samajwadi Party,"18,98,202","11,94,983",63.00%,"1,21,494",10.20%
454,Sangli,44,GEN,Maharashtra,Vishal (DADA) PRAKASHBAPU PATIL,Independent,"18,68,174","11,68,744",62.60%,"1,00,053",8.60%
455,Sangrur,12,GEN,Punjab,Gurmeet Singh Meet Hayer,Aam Aadmi Party,"15,56,601","10,09,665",64.90%,"1,72,560",17.10%
456,Sant Kabir Nagar,62,GEN,Uttar Pradesh [2000 Onwards],Laxmikant Pappu Nishad,Samajwadi Party,"20,71,964","10,91,202",52.70%,"92,170",8.40%
457,Saran,20,GEN,Bihar [2000 Onwards],Rajiv Pratap Rudy,Bharatiya Janta Party,"17,95,010","10,21,508",56.90%,"13,661",1.30%
458,Sarguja,1,ST,Chhattisgarh,Chintamani Maharaj,Bharatiya Janta Party,"18,19,347","14,55,269",80.00%,"64,822",4.50%
459,Sasaram,34,SC,Bihar [2000 Onwards],Manoj Kumar,Indian National Congress,"19,10,368","10,97,075",57.40%,"19,157",1.70%
460,Satara,45,GEN,Maharashtra,Shrimant Chh Udayanraje Pratapsinhamaharaj Bhonsle,Bharatiya Janta Party,"18,89,740","11,98,004",63.40%,"32,771",2.70%
461,Satna,9,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,"17,05,260","10,58,972",62.10%,"84,949",8.00%
462,Secundrabad,8,GEN,Telangana,G. Kishan Reddy,Bharatiya Janta Party,"21,20,401","10,47,659",49.40%,"49,944",4.80%
463,Shahdol,12,ST,Madhya Pradesh [2000 Onwards],Smt. Himadri Singh,Bharatiya Janta Party,"17,77,185","11,52,013",64.80%,"3,97,340",34.50%
464,Shahjahanpur,27,SC,Uttar Pradesh [2000 Onwards],Arun Kumar Sagar,Bharatiya Janta Party,"23,31,834","12,47,902",53.50%,"55,379",4.40%
465,Sheohar,4,GEN,Bihar [2000 Onwards],Lovely Anand,Janata Dal (United),"18,32,745","10,55,602",57.60%,"29,143",2.80%
466,Shillong,1,ST,Meghalaya,Dr. Ricky Andrew J. Syngkon,Voice Of The People Party,"14,00,411","10,37,911",74.10%,"3,71,910",35.80%
467,Shimla,4,SC,Himachal Pradesh,Suresh Kumar Kashyap,Bharatiya Janta Party,"13,46,369","9,69,965",72.00%,"91,451",9.40%
468,Shimoga,14,GEN,Karnataka,B.Y.Raghavendra,Bharatiya Janta Party,"17,52,885","13,77,224",78.60%,"2,43,715",17.70%
469,Shirdi,38,SC,Maharashtra,Bhausaheb Rajaram Wakchaure,Shiv Sena (Uddhav Balasaheb Thackrey),"16,77,335","10,59,864",63.20%,"50,529",4.80%
470,Shirur,36,GEN,Maharashtra,Dr. Amol Ramsing Kolhe,Nationalist Congress Party – Sharadchandra Pawar,"25,39,702","13,74,464",54.10%,"1,40,951",10.30%
471,Shrawasti,58,GEN,Uttar Pradesh [2000 Onwards],Ram Shiromani Verma,Samajwadi Party,"19,80,381","10,46,528",52.80%,"76,673",7.30%
472,Sidhi,11,GEN,Madhya Pradesh [2000 Onwards],Dr. Rajesh Mishra,Bharatiya Janta Party,"20,28,451","11,47,264",56.60%,"2,06,416",18.00%
473,Sikar,5,GEN,Rajasthan,Amraram,Communist Party Of India (Marxist),"22,14,900","13,00,856",58.70%,"72,896",5.60%
474,Sikkim,1,GEN,Sikkim,Indra Hang Subba,Sikkim Krantikari Morcha,"4,64,140","3,84,893",82.90%,"80,830",21.00%
475,Silchar,8,GEN,Assam,Parimal Suklabaidya,Bharatiya Janta Party,"13,69,578","10,89,426",79.50%,"2,64,311",24.30%
476,Singhbhum,10,ST,Jharkhand,Joba Majhi,Jharkhand Mukti Morcha,"14,47,562","10,07,597",69.60%,"1,68,402",16.70%
477,Sirsa,3,SC,Haryana,Selja,Indian National Congress,"19,37,689","13,54,632",69.90%,"2,68,497",19.80%
478,Sitamarhi,5,GEN,Bihar [2000 Onwards],Devesh Chandra Thakur,Janata Dal (United),"19,47,996","10,93,992",56.20%,"51,356",4.70%
479,Sitapur,30,GEN,Uttar Pradesh [2000 Onwards],Rakesh Rathor,Indian National Congress,"17,59,943","11,02,015",62.60%,"89,641",8.10%
480,Sivaganga,31,GEN,Tamil Nadu,Karti P Chidambaram,Indian National Congress,"16,33,857","10,53,419",64.50%,"2,05,664",19.50%
481,Siwan,18,GEN,Bihar [2000 Onwards],Vijaylakshmi Devi,Janata Dal (United),"18,96,512","9,98,018",52.60%,"92,857",9.30%
482,Solapur,42,SC,Maharashtra,Praniti Sushilkumar Shinde,Indian National Congress,"20,30,119","12,04,485",59.30%,"74,197",6.20%
483,Sonipat,6,GEN,Haryana,Satpal Brahamchari,Indian National Congress,"17,66,624","11,23,944",63.60%,"21,816",1.90%
484,Sonitpur,11,GEN,Assam,Ranjit Dutta,Bharatiya Janta Party,"16,33,800","12,88,468",78.90%,"3,61,408",28.00%
485,South Delhi,7,GEN,Delhi [1977 Onwards],Ramvir Singh Bidhuri,Bharatiya Janta Party,"22,91,764","12,95,998",56.60%,"1,24,333",9.60%
486,South Goa,2,GEN,Goa,Captain Viriato Fernandes,Indian National Congress,"5,98,767","4,50,520",75.20%,"13,535",3.00%
487,Srerampur,27,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,"19,26,645","14,76,532",76.60%,"1,74,830",11.80%
488,Srikakulam,2,,Andhra Pradesh [2014 Onwards],Kinjarapu Rammohan Naidu,Telugu Desam,"16,31,174","12,35,686",75.80%,"3,27,901",26.50%
489,Srinagar,2,,Jammu & Kashmir,Aga Syed Ruhullah Mehdi,Jammu & Kashmir National Conference,"17,47,810","6,75,242",38.60%,"1,88,416",27.90%
490,Sriperumbudur,5,GEN,Tamil Nadu,T R Baalu,Dravida Munnetra Kazhagam,"23,82,119","14,40,935",60.50%,"4,87,029",33.80%
491,Sultanpur,38,GEN,Uttar Pradesh [2000 Onwards],Rambhual Nishad,Samajwadi Party,"18,52,590","10,33,387",55.80%,"43,174",4.20%
492,Sundargarh,2,ST,Orissa,Jual Oram,Bharatiya Janta Party,"15,76,105","11,55,777",73.30%,"1,38,808",12.00%
493,Supaul,8,GEN,Bihar [2000 Onwards],Dileshwar Kamait,Janata Dal (United),"19,27,207","12,31,114",63.90%,"1,69,803",13.80%
494,Surat,24,GEN,Gujarat,Mukeshkumar Chandrakaant Dalal ( Uncontested ),Bharatiya Janta Party,"16,06,425",RU,NA,NA,
495,Surendranagar,9,GEN,Gujarat,Chandubhai Chhaganbhai Shihora,Bharatiya Janta Party,"20,33,419","11,31,377",55.60%,"2,61,617",23.10%
496,Tamluk,30,GEN,West Bengal,Abhijit Gangopadhyay,Bharatiya Janta Party,"18,50,741","15,77,319",85.20%,"77,733",4.90%
497,Tehri Garhwal,1,GEN,Uttarakhand,Mala Rajya Lakshmi Shah,Bharatiya Janta Party,"15,77,664","8,62,041",54.60%,"2,72,493",31.60%
498,Tenkasi,37,SC,Tamil Nadu,Dr Rani Sri Kumar,Dravida Munnetra Kazhagam,"15,25,439","10,39,119",68.10%,"1,96,199",18.90%
499,Thane,25,GEN,Maharashtra,Naresh Ganpat Mhaske,Shiv Sena,"25,07,372","13,09,068",52.20%,"2,17,011",16.60%
500,Thanjavur,30,GEN,Tamil Nadu,Murasoli S,Dravida Munnetra Kazhagam,"15,01,226","10,28,706",68.50%,"3,19,583",31.10%
501,Theni,33,GEN,Tamil Nadu,Thanga Tamilselvan,Dravida Munnetra Kazhagam,"16,22,949","11,41,219",70.30%,"2,78,825",24.40%
502,Thiruvallur,1,SC,Tamil Nadu,Sasikanth Senthil,Indian National Congress,"20,85,991","14,17,812",68.00%,"5,72,155",40.40%
503,Thiruvananthapuram,20,GEN,Kerala,Shashi Tharoor,Indian National Congress,"14,30,531","9,62,983",67.30%,"16,077",1.70%
504,Thoothukkudi,36,GEN,Tamil Nadu,Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,"14,58,430","9,78,526",67.10%,"3,92,738",40.10%
505,Thrissur,10,GEN,Kerala,Suresh Gopi,Bharatiya Janta Party,"14,83,055","10,90,876",73.60%,"74,686",6.80%
506,Tikamgarh,6,SC,Madhya Pradesh [2000 Onwards],Dr. Virendra Kumar,Bharatiya Janta Party,"18,26,585","10,98,390",60.10%,"4,03,312",36.70%
507,Tiruchirappall,24,GEN,Tamil Nadu,Durai Vaiko,Marumalarchi Dravida Munnetra Kazhagam,"15,53,985","10,55,964",68.00%,"3,13,094",29.70%
508,Tirunelveli,38,GEN,Tamil Nadu,Robert Bruce C,Indian National Congress,"16,54,503","10,67,448",64.50%,"1,65,620",15.50%
509,Tirupati,23,SC,Andhra Pradesh [2014 Onwards],Gurumoorthy Maddila,Yuvajana Sramika Rythu Congress Party,"17,29,832","13,82,570",79.90%,"14,569",1.10%
510,Tiruppur,18,GEN,Tamil Nadu,"Subbarayan, K.",Communist Party Of India,"16,08,521","11,42,549",71.00%,"1,25,928",11.00%
511,Tiruvannamalai,11,GEN,Tamil Nadu,"Annadurai, C.N.",Dravida Munnetra Kazhagam,"15,33,099","11,46,273",74.70%,"2,33,931",20.40%
512,Tonk-Sawai Mad,12,GEN,Rajasthan,Harish Chandra Meena,Indian National Congress,"21,48,128","12,26,584",57.10%,"64,949",5.30%
513,Tripura East,2,ST,Tripura,Kriti Devi Debbarman,Bharatiya Janta Party,"13,96,761","11,34,345",81.20%,"4,86,819",42.90%
514,Tripura West,1,GEN,Tripura,Biplab Kumar Deb,Bharatiya Janta Party,"14,63,526","12,09,809",82.70%,"6,11,578",50.60%
515,Tumkur,19,GEN,Karnataka,V. Somanna,Bharatiya Janta Party,"16,61,309","13,03,451",78.50%,"1,75,594",13.50%
516,Tura,2,ST,Meghalaya,Saleng A Sangma,Indian National Congress,"8,26,156","6,74,056",81.60%,"1,55,241",23.00%
517,Udaipur,19,ST,Rajasthan,Manna Lal Rawat,Bharatiya Janta Party,"22,30,971","14,98,376",67.20%,"2,61,608",17.50%
518,Udhampur,4,,Jammu & Kashmir,Dr Jitendra Singh,Bharatiya Janta Party,"16,23,195","11,13,727",68.60%,"1,24,373",11.20%
519,Udupi Chikmaga,15,GEN,Karnataka,Kota Srinivas Poojary,Bharatiya Janta Party,"15,85,162","12,29,418",77.60%,"2,59,175",21.10%
520,Ujiarpur,22,GEN,Bihar [2000 Onwards],Nityanand Rai,Bharatiya Janta Party,"17,45,408","10,42,068",59.70%,"60,102",5.80%
521,Ujjain,22,SC,Madhya Pradesh [2000 Onwards],Anil Firojiya,Bharatiya Janta Party,"17,98,704","13,28,580",73.70%,"3,75,860",28.30%
522,Uluberia,26,GEN,West Bengal,Sajda Ahmed,All India Trinamool Congress,"17,41,438","13,90,794",79.90%,"2,18,673",15.70%
523,Unnao,33,GEN,Uttar Pradesh [2000 Onwards],Swami Sachchidanand Hari Sakshi,Bharatiya Janta Party,"23,41,740","13,02,271",55.60%,"35,818",2.80%
524,Uttara Kannada,12,GEN,Karnataka,Vishweshwar Hegde Kageri,Bharatiya Janta Party,"16,41,156","12,62,761",76.90%,"3,37,428",26.70%
525,Vadakara,3,GEN,Kerala,Shafi Parambil,Indian National Congress,"14,21,883","11,22,947",79.00%,"1,14,506",10.20%
526,Vadodara,20,GEN,Gujarat,Dr. Hemang Joshi,Bharatiya Janta Party,"19,49,573","12,12,149",62.20%,"5,82,126",48.00%
527,Vaishali,16,GEN,Bihar [2000 Onwards],Veena Devi,Lok Janshakti Party(Ram Vilas),"18,69,178","11,72,060",62.70%,"89,634",7.60%
528,Valmiki Nagar,1,GEN,Bihar [2000 Onwards],Sunil Kumar,Janata Dal (United),"18,27,281","11,01,830",60.30%,"98,675",9.00%
529,Valsad,26,ST,Gujarat,Dhaval Laxmanbhai Patel,Bharatiya Janta Party,"18,59,974","13,61,411",73.20%,"2,10,704",15.50%
530,Varanasi,77,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,"19,97,578","11,30,143",56.60%,"1,52,513",13.50%
531,Vellore,8,GEN,Tamil Nadu,Dm Kathir Anand,Dravida Munnetra Kazhagam,"15,28,273","11,29,458",73.90%,"2,15,702",19.10%
532,Vidisha,18,GEN,Madhya Pradesh [2000 Onwards],Shivraj Singh Chouhan,Bharatiya Janta Party,"19,45,404","14,55,658",74.80%,"8,21,408",56.40%
533,Vijayawada,12,,Andhra Pradesh [2014 Onwards],Kesineni Sivanath (CHINNI),Telugu Desam,"17,04,077","13,64,405",80.10%,"2,82,085",20.70%
534,Viluppuram,13,SC,Tamil Nadu,Ravikumar. D,Viduthalai Chiruthaigal Katchi,"15,03,115","11,52,667",76.70%,"70,703",6.10%
535,Virudhunagar,34,GEN,Tamil Nadu,Manickam Tagore B,Indian National Congress,"15,01,942","10,61,901",70.70%,"4,379",0.40%
536,Visakhapatnam,4,,Andhra Pradesh [2014 Onwards],Sribharat Mathukumili,Telugu Desam,"19,27,303","13,87,125",72.00%,"5,04,247",36.40%
537,Vizianagaram,3,,Andhra Pradesh [2014 Onwards],Appalanaidu Kalisetti,Telugu Desam,"15,85,206","12,99,242",82.00%,"2,49,351",19.20%
538,Warangal,15,SC,Telangana,Kadiyam Kavya,Indian National Congress,"18,24,466","12,67,946",69.50%,"2,20,339",17.40%
539,Wardha,8,GEN,Maharashtra,Amar Sharadrao Kale,Nationalist Congress Party – Sharadchandra Pawar,"16,82,771","10,95,012",65.10%,"81,648",7.50%
540,Wayanad,4,GEN,Kerala,Rahul Gandhi,Indian National Congress,"14,62,423","10,84,653",74.20%,"3,64,422",33.60%
